Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
247982,"Voyage on the Great Titanic: The Diary of Margaret Ann Brady, R.M.S. Titanic, 1912 (Dear America)",Ellen Emerson White,"White, Ellen Emerson",,0590962736,9.78059E+12,0,3.99,Scholastic,Hardcover,204,1998,1998,,12/27/18,"dear-america, female-pov","dear-america (#1), female-pov (#101)",read,,,,1,1
690867,"I Walk in Dread: The Diary of Deliverance Trembley, Witness to the Salem Witch Trials, Massachusetts Bay Colony, 1691 (Dear America)",Lisa Rowe Fraustino,"Fraustino, Lisa Rowe",,0439249732,9.78044E+12,0,3.89,Scholastic Inc.,Hardcover,203,2004,2004,,12/27/18,"dear-america, female-pov","dear-america (#9), female-pov (#103)",read,,,,1,1
218218,A Coal Miner's Bride: The Diary of Anetka Kaminska (Dear America),Susan Campbell Bartoletti,"Bartoletti, Susan Campbell",,0439053862,9.78044E+12,0,4.17,Scholastic Inc.,Hardcover,221,2000,2000,,12/27/18,"dear-america, female-pov","dear-america (#6), female-pov (#96)",read,,,,1,1
362928,"Dreams in the Golden Country: The Diary of Zipporah Feldman, a Jewish Immigrant Girl, New York City, 1903",Kathryn Lasky,"Lasky, Kathryn",,0590029738,9.78059E+12,0,3.9,Scholastic Inc.,Hardcover,183,1998,1998,,12/27/18,"dear-america, female-pov","dear-america (#7), female-pov (#95)",read,,,,1,1
875642,A Time For Courage: The Suffragette Diary of Kathleen Bowen (Dear America),Kathryn Lasky,"Lasky, Kathryn",,0590511416,9.78059E+12,0,3.92,Scholastic Inc.,Hardcover,222,2002,2002,,12/27/18,"dear-america, female-pov","dear-america (#5), female-pov (#97)",read,,,,1,1
875653,When Christmas Comes Again: The World War I Diary of Simone Spencer (Dear America),Beth Seidel Levine,"Levine, Beth Seidel",,0439439825,9.78044E+12,0,3.92,Scholastic Inc.,Hardcover,176,2002,2002,,12/27/18,"dear-america, female-pov","dear-america (#4), female-pov (#98)",read,,,,1,1
26025989,The Princess Diarist,Carrie Fisher,"Fisher, Carrie",,0399173595,9.7804E+12,3,3.7,Blue Rider Press,Hardcover,257,2016,2016,7/7/18,5/27/18,female-pov,female-pov (#79),read,,,,1,1
33151884,Romeo And Juliet,David Hewson,"Hewson, David",Richard Armitage,,,3,3.82,Audible Studios,Audible Audio,296,2016,2016,12/27/18,8/27/18,audible,audible (#70),read,,,,1,1
33019986,The Book of the Unnamed Midwife (The Road to Nowhere #1),Meg Elison,"Elison, Meg",Angela Dawe,,,5,4.15,,Audible Audio,,,2014,12/12/18,12/7/18,"audible, female-pov","audible (#85), female-pov (#94)",read,,,,1,1
35493809,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,"Horowitz, Anthony","Samantha Bond, Allan Corduner",,,5,3.95,Harper Audio,Audible Audio,16,2017,2016,12/6/18,12/11/17,"audible, british-isles, mixed-pov","audible (#79), british-isles (#39), mixed-pov (#20)",read,,,,1,1
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",,000720230X,9.78001E+12,5,3.98,HarperCollins Publishers,Hardcover,240,2005,1951,,9/2/18,british-isles,british-isles (#44),read,,,,1,0
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,006112527X,9.78006E+12,5,4.09,HarperCollins,Hardcover,248,2006,1952,,9/2/18,british-isles,british-isles (#43),read,,,,1,0
37969723,"The Silence of the Girls (Women of Troy, #1)",Pat Barker,"Barker, Pat",,,,3,3.9,Doubleday Books,Hardcover,325,2018,2018,9/30/18,9/3/18,"botm, female-pov","botm (#13), female-pov (#93)",read,,,,1,1
37506424,"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,"Kwan, Kevin",,052543237X,9.78053E+12,4,3.95,Anchor,Paperback,541,2018,2017,11/20/18,9/26/18,mixed-pov,mixed-pov (#22),read,,,,1,1
38350063,For Better and Worse,Margot Hunt,"Hunt, Margot",,,,3,3.74,MIRA,Kindle Edition,336,2018,2018,11/18/18,11/1/18,"botm, mixed-pov","botm (#14), mixed-pov (#21)",read,"The writing was just okay. Didn’t love any of the characters, and the dialogue was also just okay. A good twist at the end though! Not bad for a book of the month pick.",,,1,1
28573689,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",Carolyn McCormick,,,3,3.76,"Blackstone Audio, Inc.",Audible Audio,,2014,2014,11/27/18,1/8/18,"audible, female-pov","audible (#13), female-pov (#89)",read,"Starts slow, but gets better at the end. Unfortunately, the slow start made it hard to get into and we dragged the reading/listening out too long to really dig in. ",,,1,1
28170940,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,"Galbraith, Robert",,0751572853,9.78075E+12,5,4.24,Sphere,Hardcover,650,2018,2018,9/29/18,7/31/18,"audible, british-isles, mixed-pov","audible (#83), british-isles (#41), mixed-pov (#18)",read,,,,1,1
34879438,The Hate U Give,Angie Thomas,"Thomas, Angie",Bahni Turpin,,,5,4.48,HarperAudio,Audible Audio,12,2017,2017,10/28/18,10/10/18,"audible, female-pov","audible (#82), female-pov (#91)",read,,,,1,1
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,1101885939,9.7811E+12,4,4.1,Del Rey,Hardcover,319,2017,2017,10/29/18,4/28/18,mixed-pov,mixed-pov (#17),read,,,,1,1
