Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
31702733,"An Alchemy of Masques and Mirrors (The Risen Kingdoms, #1)",Curtis Craddock,"Craddock, Curtis",,"=""0765389592""","=""9780765389596""",0,4.06,Tor Books,Hardcover,416,2017,2017,,2022/07/01,to-read,to-read (#111),to-read,,,,0,0
58484077,"Forging Silver into Stars (Forging Silver into Stars, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1547609125""","=""9781547609123""",0,4.13,Bloomsbury YA,Hardcover,560,2022,2022,,2022/07/01,to-read,to-read (#110),to-read,,,,0,0
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062678108""","=""9780062678102""",0,4.15,Harper Voyager,Hardcover,532,2017,2017,,2021/10/18,to-read,to-read (#109),to-read,,,,0,0
40727470,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316273503""","=""9780316273503""",5,3.93,Jimmy Patterson,Kindle Edition,337,2016,2016,,2022/06/28,,,read,,,,1,0
37539001,"Capturing the Devil (Stalking Jack the Ripper, #4)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316485543""","=""9780316485548""",0,4.19,JIMMY Patterson,Hardcover,464,2019,2019,,2022/06/28,to-read,to-read (#108),to-read,,,,0,0
46184206,"Becoming the Dark Prince (Stalking Jack the Ripper, #3.5)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""""","=""9780316428705""",0,4.31,"Little, Brown and Company",Kindle Edition,64,2019,2019,,2022/06/28,to-read,to-read (#107),to-read,,,,0,0
30375937,"Escaping from Houdini (Stalking Jack the Ripper, #3)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316551694""","=""9780316551694""",0,3.93,JIMMY Patterson,ebook,416,2018,2018,,2022/06/28,to-read,to-read (#106),to-read,,,,0,0
12292260,Kill Anything That Moves: The Real American War in Vietnam (American Empire Project),Nick Turse,"Turse, Nick",,"=""0805086919""","=""9780805086911""",0,4.23,Metropolitan Books,Hardcover,370,2013,2013,,2022/06/13,to-read,to-read (#105),to-read,,,,0,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",0,4.06,Flatiron Books,Hardcover,408,2021,2021,2022/06/13,2021/08/14,,,read,,,,1,0
58395042,"The League of Gentlewomen Witches (Dangerous Damsels, #2)",India Holton,"Holton, India",,"=""0593200187""","=""9780593200186""",0,3.90,Berkley,Paperback,352,2022,2022,,2022/06/12,to-read,to-read (#104),to-read,,,,0,0
61100920,"The Secret Service of Tea and Treason (Dangerous Damsels, #3)",India Holton,"Holton, India",,"=""0593547276""","=""9780593547274""",0,3.99,Berkley Books,ebook,368,2023,2023,,2022/06/12,to-read,to-read (#103),to-read,,,,0,0
58988311,"Curse of Shadows and Thorns (The Broken Kingdoms, #1)",L.J. Andrews,"Andrews, L.J.",,"=""""","=""""",0,4.02,Bowker,Paperback,348,2021,2021,,2022/06/12,to-read,to-read (#102),to-read,,,,0,0
828418,Confessions of an Ugly Stepsister,Gregory Maguire,"Maguire, Gregory",,"=""0060392827""","=""9780060392826""",0,3.54,Regan Books,Hardcover,368,1999,1999,2022/06/06,2022/03/04,,,read,,,,1,0
52772417,"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""1529350506""","=""9781529350500""",0,4.10,Hodder & Stoughton,Hardcover,437,2021,2021,2022/06/01,2022/05/22,,,read,,,,1,0
53422971,"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,"Ryan, Lexi",,"=""""","=""""",0,3.96,HMH,Kindle Edition,448,2021,2021,,2022/05/27,to-read,to-read (#101),to-read,,,,0,0
58311939,"These Twisted Bonds (These Hollow Vows, #2)",Lexi Ryan,"Ryan, Lexi",,"=""0358386586""","=""9780358386582""",0,3.95,Storytide,Hardcover,481,2022,2022,,2022/05/27,to-read,to-read (#100),to-read,,,,0,0
48717744,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,"Riordan, Rick",,"=""1484746457""","=""9781484746455""",0,4.49,Disney-Hyperion Books,Hardcover,416,2020,2020,2022/05/22,2022/02/15,,,read,,,,1,0
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,"Riordan, Rick",,"=""1368001440""","=""9781368001441""",0,4.32,Disney Hyperion,ebook,439,2019,2019,2022/05/11,2022/02/15,,,read,,,,1,0
59808792,"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.03,Amazon Digital Services,Kindle Edition,1242,2022,2022,,2022/05/11,to-read,to-read (#99),to-read,,,,0,0
53146871,"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.27,King's Hollow,Kindle Edition,724,2020,2020,,2022/05/11,to-read,to-read (#98),to-read,,,,0,0
50391615,"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.32,King's Hollow,Kindle Edition,886,2020,2020,,2022/05/11,to-read,to-read (#97),to-read,,,,0,0
58725016,Elektra,Jennifer Saint,"Saint, Jennifer",,"=""125077361X""","=""9781250773616""",0,3.67,Flatiron Books,Hardcover,291,2022,2022,,2022/05/11,to-read,to-read (#96),to-read,,,,0,0
28006096,"The Burning Maze (The Trials of Apollo, #3)",Rick Riordan,"Riordan, Rick",,"=""1368024122""","=""9781368024129""",0,4.27,Disney-Hyperion Books,Hardcover,448,2018,2018,2022/04/28,2022/02/15,,,read,,,,1,0
58529366,"In a Garden Burning Gold (Argyrosi, #1)",Rory Power,"Power, Rory",,"=""0593354974""","=""9780593354971""",0,3.50,Del Rey,Hardcover,432,2022,2022,,2022/04/16,to-read,to-read (#95),to-read,,,,0,0
30969741,An Enchantment of Ravens,Margaret  Rogerson,"Rogerson, Margaret",,"=""1481497588""","=""9781481497589""",0,3.64,Margaret K. McElderry Books,Hardcover,304,2017,2017,,2022/04/16,to-read,to-read (#94),to-read,,,,0,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",0,4.12,Flatiron Books,Hardcover,354,2017,2017,,2022/04/16,to-read,to-read (#93),to-read,,,,0,0
30145666,"The Dark Prophecy (The Trials of Apollo, #2)",Rick Riordan,"Riordan, Rick",,"=""1484746422""","=""9781484746424""",0,4.12,Disney-Hyperion Books,Hardcover,432,2017,2017,2022/04/16,2022/02/15,,,read,,,,1,0
26252859,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,"Riordan, Rick",,"=""148473274X""","=""9781484732748""",0,4.14,Disney-Hyperion Books,Hardcover,376,2016,2016,2022/04/16,2022/02/15,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.22,Gollancz,Paperback,515,2007,2006,,2022/04/16,to-read,to-read (#92),to-read,,,,0,0
59883709,The Myth of June,A.B. Daniels-Annachi,"Daniels-Annachi, A.B.",,"=""0645238333""","=""9780645238334""",0,2.92,Pacific Publications,Paperback,396,2022,,,2022/04/16,to-read,to-read (#91),to-read,,,,0,0
53921926,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""""","=""""",0,4.04,CLA,Kindle Edition,356,2020,2018,,2022/04/16,to-read,to-read (#90),to-read,,,,0,0
51966347,"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.21,King's Hollow,Kindle Edition,475,2019,2019,,2022/04/16,to-read,to-read (#89),to-read,,,,0,0
49551172,"The Reckoning (Zodiac Academy, #3)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.33,King's Hollow,Kindle Edition,561,2019,2019,,2022/04/16,to-read,to-read (#88),to-read,,,,0,0
