Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
124019742,The Golem of Brooklyn,Adam Mansbach,"Mansbach, Adam",,"=""059372982X""","=""9780593729823""",0,3.98,One World,Paperback,272,2023,2023,,2023/09/14,to-read,to-read (#332),to-read,,,,0,0
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,"=""0262044005""","=""9780262044004""",3,4.33,MIT Press,Hardcover,328,2020,2020,2023/09/14,2022/03/29,,,read,,,,1,0
123727738,The Secret Hours,Mick Herron,"Herron, Mick",,"=""164129521X""","=""9781641295215""",0,4.27,Soho Crime,ebook,384,2023,2023,,2023/09/12,to-read,to-read (#331),to-read,,,,0,0
45869112,The Bear,Andrew Krivak,"Krivak, Andrew",,"=""1942658702""","=""9781942658702""",0,3.90,Bellevue Literary Press,Paperback,224,2020,2020,,2023/09/11,to-read,to-read (#330),to-read,,,,0,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.27,Pantheon,Paperback,153,2004,2003,2023/09/11,2023/02/25,,,read,,,,1,0
62834778,The Seven Measures of the World,Piero Martin,"Martin, Piero",Gregory Conti,"=""0300266278""","=""9780300266276""",0,3.60,Yale University Press,Hardcover,224,2023,2021,,2023/09/11,to-read,to-read (#329),to-read,,,,0,0
60965424,The Drift,C.J. Tudor,"Tudor, C.J.",,"=""059335656X""","=""9780593356562""",0,3.70,Ballantine Books,Hardcover,340,2023,2023,,2023/09/11,to-read,to-read (#328),to-read,,,,0,0
61398924,The Donut Legion,Joe R. Lansdale,"Lansdale, Joe R.",,"=""0316540684""","=""9780316540681""",0,3.63,Mulholland Books,Hardcover,291,2023,2023,,2023/09/11,to-read,to-read (#327),to-read,,,,0,0
59824706,"Sins of My Father: A Daughter, a Cult, a Wild Unravelling",Lily Dunn,"Dunn, Lily",,"=""""","=""""",0,3.83,Weidenfeld & Nicolson,Kindle Edition,245,2022,2023,,2023/09/08,to-read,to-read (#326),to-read,,,,0,0
56898076,The Inheritance of Orquídea Divina,Zoraida Córdova,"Córdova, Zoraida",,"=""1982102543""","=""9781982102548""",3,3.92,Atria Books,Hardcover,336,2021,2021,2023/08/29,2023/08/08,,,read,,,,1,0
