Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
NaLyssa Smith,IND,F,40,990,40,37,24.8,4.2,8.8,0.48,0.4,1.2,0.292,3.9,7.6,0.51,1.8,3.2,0.567,1.8,7.1,1,0.8,1,1.3,2.7,10.6
Stephanie Soares,DAL,C,22,175,22,3,8,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1,0.364,0.1,0.1,1,0.8,2.1,0.5,0.1,0.4,0.5,0.8,1.1
Taylor Soule,MIN,F,2,3,2,0,1.5,0,0,,0,0,,0,0,,0,0,,0,0.5,0,0,0,0.5,0,0
Azura Stevens,LAS,F-C,20,493,20,19,24.7,3.6,8.9,0.399,1.4,4,0.35,2.2,4.9,0.439,1.1,1.4,0.815,1,7,1.9,0.9,0.9,1.8,2,9.6
Breanna Stewart,NYL,F,38,1243,38,38,32.7,7,15.2,0.458,1.2,4.1,0.295,5.8,11.1,0.519,5.3,6.3,0.845,1.6,8.5,3.5,1.7,1.3,1.7,2.1,20.4
Kiah Stokes,LVA,C,39,716,39,29,18.4,0.5,1.6,0.323,0.2,1,0.225,0.3,0.6,0.5,0.2,0.2,0.667,0.6,4.7,0.7,0.5,0.8,0.4,1.7,1.4
Brittney Sykes,WAS,G,18,419,18,18,23.3,4.5,11.1,0.405,0.9,3.3,0.271,3.6,7.8,0.461,2.3,3.1,0.75,0.6,4.1,3.1,0.9,0.4,2.2,1.4,12.2
Stephanie Talbot,LAS,F,37,600,37,10,16.2,1.3,3.4,0.395,0.4,1.4,0.26,1,2,0.486,0.5,0.8,0.69,0.6,2.7,2.1,0.5,0.5,1,1.4,3.5
Diana Taurasi,PHO,G,36,1044,36,36,29,4.8,11.9,0.4,2.4,7.2,0.333,2.4,4.8,0.5,3,3.5,0.857,0.4,3.8,3.4,0.6,0.3,1.9,2.6,14.9
Alyssa Thomas,CON,F,40,1296,40,40,32.4,4.2,8.2,0.509,0,0.1,0,4.2,8.1,0.516,2.3,3.6,0.628,2.5,8.4,7.9,1.6,0.5,3.6,2.1,10.6
Kayla Thornton,NYL,F,40,809,40,11,20.2,1.9,5.1,0.379,1.1,3.2,0.357,0.8,1.9,0.416,0.6,0.7,0.846,1,2.6,0.7,0.7,0.2,0.6,1.4,5.5
Brianna Turner,CHI,F-C,27,253,27,2,9.4,0.6,1,0.615,0,0,,0.6,1,0.615,0,0.1,0.5,0.4,2,0.4,0.3,0.5,0.4,1,1.2
Sevgi Uzun,DAL,G,40,820,40,19,20.5,1.7,5,0.342,0.5,2.1,0.238,1.2,2.9,0.417,0.5,0.6,0.826,0.2,1.6,3,0.9,0.3,1.8,1.5,4.4
Courtney Vandersloot,NYL,G,31,691,31,31,22.3,2.6,5.9,0.445,0.6,2.2,0.269,2,3.7,0.548,0.5,1,0.548,0.4,2.6,4.8,0.8,0.5,1.8,1.7,6.4
Julie Vanloo,WAS,G,40,926,40,34,23.2,2.7,7.7,0.346,1.8,5.6,0.324,0.9,2.1,0.405,0.3,0.4,0.667,0.1,1.6,4.3,0.5,0,2.6,2.2,7.4
Victoria Vivians,SEA,G-F,35,445,35,15,12.7,1.2,3.5,0.333,0.6,2,0.319,0.5,1.5,0.352,0.2,0.3,0.667,0.5,2,0.8,0.4,0.2,0.6,1.2,3.1
Shatori Walker-Kimbrough,WAS,G,40,883,40,2,22.1,2.6,6.3,0.415,0.9,2.7,0.33,1.8,3.7,0.476,1.4,1.7,0.806,0.3,1.7,1.9,1.1,0.5,1.4,1,7.5
Kristy Wallace,IND,G,26,447,26,15,17.2,1.8,4.5,0.402,0.7,2.2,0.293,1.2,2.3,0.508,0.5,0.7,0.667,0.4,1.8,1.7,0.7,0.2,0.7,1.1,4.7
Erica Wheeler,IND,G,39,546,39,2,14,1.5,3.6,0.411,0.4,1.3,0.288,1.1,2.3,0.483,0.3,0.3,0.846,0.2,1.4,1.8,0.4,0.1,0.9,1.2,3.6
Sami Whitcomb,SEA,G,40,611,40,3,15.3,1.8,5.2,0.346,1.2,4,0.292,0.6,1.2,0.532,0.2,0.3,0.818,0.4,1.9,1.6,0.8,0.2,1,1.4,5
Courtney Williams,MIN,G,40,1061,40,40,26.5,4.9,11,0.443,0.6,1.7,0.333,4.3,9.2,0.463,0.9,1.1,0.81,0.4,4.7,5.5,0.9,0.4,2.5,1.9,11.1
Elizabeth Williams,CHI,C-F,9,249,9,9,27.7,4.1,8.4,0.487,0,0,,4.1,8.4,0.487,1.8,2.7,0.667,2.8,7,1.6,1.7,1.7,1.7,2.1,10
Gabby Williams,SEA,F,12,351,12,11,29.3,4.2,8.7,0.481,0.8,2.6,0.323,3.3,6.1,0.548,1.2,1.6,0.737,0.8,4,3.7,1.7,0.3,1.4,1.8,10.3
Kiana Williams,SEA,G,13,45,13,0,3.5,0.3,1.2,0.25,0.2,0.7,0.333,0.1,0.5,0.143,0,0,,0,0.2,0.4,0,0,0.2,0.2,0.8
A'ja Wilson,LVA,C,38,1308,38,38,34.4,10.1,19.6,0.518,0.5,1.6,0.317,9.6,18,0.536,6.1,7.2,0.844,2.1,11.9,2.3,1.8,2.6,1.3,1.8,26.9
Jackie Young,LVA,G,37,1205,37,37,32.6,5.4,12.6,0.43,1.9,5.6,0.337,3.5,7,0.506,3,3.5,0.867,0.7,4.4,5.3,1,0.2,2.1,2.5,15.8
Li Yueru,LAS,C,38,546,38,2,14.4,1.8,3.9,0.463,0.1,0.4,0.267,1.7,3.5,0.485,1.4,1.6,0.898,1.4,3.7,0.6,0.3,0.2,0.9,2.1,5.1
Cecilia Zandalasini,MIN,F,40,487,40,0,12.2,1.7,3.7,0.453,0.8,1.8,0.443,0.9,2,0.462,0.5,0.7,0.621,0.1,1.2,1.1,0.4,0.2,0.8,1.4,4.6
Rachel Banham,TOT,G,37,586,37,9,15.8,1.9,5.5,0.351,1.4,3.8,0.366,0.5,1.6,0.317,0.4,0.5,0.8,0.2,1.4,1.1,0.4,0.2,0.5,1.6,5.7
Morgan Bertsch,TOT,F,11,100,11,0,9.1,0.5,2.7,0.2,0.2,1.4,0.133,0.4,1.4,0.267,0.7,0.9,0.8,0.7,1.5,0.2,0.1,0.1,1.2,1.3,2
Monique Billings,TOT,F,37,843,37,14,22.8,2.9,6.2,0.465,0.1,0.4,0.214,2.8,5.8,0.481,1.5,1.9,0.803,1.8,5.8,1.4,0.7,0.5,1.8,2.3,7.4
Crystal Dangerfield,TOT,G,33,441,33,5,13.4,1.1,4,0.282,0.5,1.9,0.274,0.6,2.1,0.29,0.5,0.5,0.882,0.1,1,1.9,0.3,0.2,0.8,0.8,3.2
Queen Egbo,TOT,F-C,8,29,8,0,3.6,0.6,1.5,0.417,0,0,,0.6,1.5,0.417,0.3,0.3,1,0.4,1.3,0,0.4,0.1,0,0.5,1.5
Myisha Hines-Allen,TOT,F,40,746,40,11,18.7,3,6.1,0.492,0.5,1.3,0.36,2.6,4.9,0.526,1.4,1.7,0.833,1.1,4.7,2.6,0.7,0.1,1.4,2,7.8
