Acronym,Original Address,Lat,Lon,Name,,,,,,,,,,,,,,,,,
SHFE,"Saieh Hall for Economics, 5757 S. University Ave.",41.789832,-87.59744710,,,,,,,,,,,,,,,,,,
SS,"Social Sciences Research Building, 1126 E. 59th St., Chicago",41.78804930,-87.59885110,,,,,,,,,,,,,,,,,,
SSA,"Edith Abbott Hall, 969 E. 60th St.",41.78559200,-87.60174800,,,,,,,,,,,,,,,,,,
SSC,"950 E. 61st St., Chicago",41.78445785,-87.60193710,,,,,,,,,,,,,,,,,,
STU,"Harold Leonard Stuart Hall, 5835 S. Greenwood Ave.",41.78842200,-87.59911700,,,,,,,,,,,,,,,,,,
TH,"Lorado Taft House, 935 E. 60th St.",41.78564910,-87.60306883,,,,,,,,,,,,,,,,,,
TTI,"Toyota Technical Institute at Chicago, 6045 S. Kenwood Ave.",41.78472100,-87.59261900,,,,,,,,,,,,,,,,,,
W,"Walker Museum, 1115-25 E. 58th St.",41.78899575,-87.59866575,,,,,,,,,,,,,,,,,,
WB,"Wieboldt Hall, 1050 E 59th St.",41.78800310,-87.60031487,,,,,,,,,,,,,,,,,,
Y,"Young Memorial Building, 5555 S. Ellis Ave.",41.79342545,-87.60093910,,,,,,,,,,,,,,,,,,
Z,"Zoology Building, 1101 E. 57th St., Chicago",41.79123050,-87.59931635,,,,,,,,,,,,,,,,,,
